segment_name,time_second,bitrate_kbps,resolution
ai_seg_69_1080p.mp4,0,1436.32,1080p
ai_seg_69_360p.mp4,0,279.46,360p
ai_seg_69_480p.mp4,0,428.58,480p
ai_seg_69_720p.mp4,0,826.58,720p
ai_seg_69_1080p.mp4,1,1268.84,1080p
ai_seg_69_360p.mp4,1,217.47,360p
ai_seg_69_480p.mp4,1,384.32,480p
ai_seg_69_720p.mp4,1,694.79,720p
ai_seg_70_1080p.mp4,0,1276.18,1080p
ai_seg_70_360p.mp4,0,233.4,360p
ai_seg_70_480p.mp4,0,351.23,480p
ai_seg_70_720p.mp4,0,720.53,720p
ai_seg_70_1080p.mp4,1,684.09,1080p
ai_seg_70_360p.mp4,1,146.78,360p
ai_seg_70_480p.mp4,1,214.29,480p
ai_seg_70_720p.mp4,1,341.11,720p
ai_seg_71_1080p.mp4,0,1242.15,1080p
